ARROW_000|か ん ぺ き な く う き に よっ て ひ め る こ ・あ く ま ・ の|k a N p e k i n a k u u k i n i y o cl t e h i m e r u k o gts a k u m a n o|A3 A3 C4 C4 D4 E4 A3 A3 A3 C4 A3 G3 A3 A3 G3 A3 G3 C4 C4 D4|0.11450381679389313 0.11450381679389313 0.11450381679389313 0.11450381679389313 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.4580152671755725 0.22900763358778625 0.4580152671755725 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.11450381679389313 0.11450381679389313 0.22900763358778625 0.1717557251908397|0.020447899999999998 0.11041519999999999 0.042509 0.059168399999999996 0.0687397 0.08658289999999999 0.039 0.023 0.1571189 0.0887526 0.2161285 0.1360249 0.12877829999999998 0.1601968 0.066 0.174 0.0648494 0.2227516 0.2131803 0.0165323 0.1366745 0.0965838 0.3594281 0.0643221 0.2256779 0.027 0.1334987 0.0887526 0.2140504 0.0243635 0.14245359999999999 0.0948435 0.055037699999999995 0.0502472 0.27895139999999996 0.0598014 0.211|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
ARROW_001|す き ま ・お お ね らっ て ・ く う|s u k i m a gts o o n e r a cl t e k u u|E4 A3 A3 C4 A3 A3 G3 A3 A3 A3 G3|0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.4580152671755725 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.4580152671755725|0.089 0.0999578 0.1290422 0.1615791 0.0382855 0.20760119999999999 0.0374153 0.2601189 0.1502211 0.0467789 0.20199999999999999 0.053154 0.2422945 0.175765 0.0087012 0.360743 0.0991941 0.2491482 0.40099999999999997|0 0 0 0 0 0 0 1 1 0 0
ARROW_002|ゆ め に み た み ら ・い ・ の|y u m e n i m i t a m i r a gts i n o|D4 E4 A3 A3 A3 C4 A3 A3 A3 G3|0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.11450381679389313 0.11450381679389313 0.22900763358778625 0.1717557251908397|0.0530775 0.1094719 0.081 0.22899999999999998 0.033 0.11299999999999999 0.077 0.14895899999999998 0.08179159999999999 0.1372494 0.08499999999999999 0.19399999999999998 0.027 0.0947755 0.0321946 0.2210299 0.096 0.219|0 0 0 0 0 0 0 1 1 0
ARROW_003|す ご い そ お ち ・ で|s u g o i s o o ch i d e|A3 A3 G3 A3 G3 C4 C4 D4|0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.11450381679389313 0.11450381679389313 0.22900763358778625 0.22900763358778625|0.0896228 0.14096 0.0860073 0.2443513 0.09999999999999999 0.1163442 0.1076558 0.1551215 0.1087655 0.24218279999999998 0.0609086 0.2290216|0 0 0 0 0 1 1 0
ARROW_004|ど ん な せ か ・い ・ も|d o N n a s e k a gts i m o|E4 A3 A3 C4 A3 A3 A3 G3|0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.11450381679389313 0.11450381679389313 0.22900763358778625 0.1717557251908397|0.0104415 0.2055157 0.16799999999999998 0.06 0.11199999999999999 0.11599999999999999 0.1258996 0.1041004 0.0701243 0.060908699999999996 0.291967 0.055 0.205|0 0 0 0 0 1 1 0
ARROW_005|つ く り だ せ る ・|ts u k u r i d a s e r u|A3 A3 C4 D4 C4 A3 A3|0.22900763358778625 0.22900763358778625 0.22900763358778625 0.4580152671755725 0.4580152671755725 0.4580152671755725 0.22900763358778625|0.065 0.1262939 0.1097061 0.192 0.027 0.1739787 0.042636099999999996 0.3313852 0.1333492 0.44165079999999995 0.031 0.7627315|0 0 0 0 0 1 1
ARROW_006|こ の ほ し わ|k o n o h o sh i w a|E4 D4 C4 A3 A3|0.22900763358778625 0.4580152671755725 0.22900763358778625 0.4580152671755725 0.4580152671755725|0.0200129 0.2138999 0.049999999999999996 0.363 0.0518616 0.1471384 0.1269505 0.3910495 0.0500566 0.4399434|0 0 0 0 0
ARROW_007|は じ け る そ お だ の よ うぉ な ・|h a j i k e r u s o o d a n o y o w o n a|A3 G3 A3 A3 D4 C4 D4 C4 D4 E4 E4 E4|0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.4580152671755725 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.916030534351145 0.11450381679389313|0.0560931 0.15360669999999998 0.0904928 0.10267459999999999 0.1044148 0.2398111 0.03 0.063 0.1172196 0.4097804 0.216 0.06842 0.2096998 0.0443763 0.1096356 0.13593929999999999 0.1817209 0.0391556 0.15505249999999998 0.048999999999999995 1.1706496|0 0 0 0 0 0 0 0 0 0 1 1
ARROW_008|み せ て ほ し い の ま だ し ら な い こ ・ と ・|m i s e t e h o sh i i n o m a d a sh i r a n a i k o t o|E4 D4 C4 F4 E4 D4 C4 D4 C4 D4 C4 D4 C4 D4 D4 D#4/Eb4 D#4/Eb4|0.22900763358778625 0.4580152671755725 0.22900763358778625 0.22900763358778625 0.4580152671755725 0.22900763358778625 0.4580152671755725 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.11450381679389313 0.11450381679389313 0.22900763358778625 0.22900763358778625 0.11450381679389313|0.048104 0.1111286 0.1157264 0.35616909999999996 0.0939733 0.1348692 0.07048 0.1446534 0.11199999999999999 0.38899999999999996 0.221 0.06799999999999999 0.321 0.109 0.20221109999999998 0.049596999999999995 0.0948435 0.13634839999999998 0.21 0.027804699999999998 0.11919529999999999 0.086 0.2364692 0.0469867 0.0730904 0.2706735 0.0687398 0.3880404|0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
ARROW_009|ず ばっ と う ば わ れ ・ て き み の こ こ ろ ・ に こ と ば が ほ ら ・ ・あ ふ れ て か わ い ・ て く|z u b a cl t o u b a w a r e t e k i m i n o k o k o r o n i k o t o b a g a h o r a gts a f u r e t e k a w a i t e k u|E4 C5 A4 G4 A4 C5 A4 A4 G4 G4 G4 A4 A4 G4 C5 C5 A4 G4 D5 D5 D5 D5 C5 C5 A4 G4 A4 A4 G4 C5 B4 B4 A#4/Bb4 A4|0.22900763358778625 0.4580152671755725 0.4580152671755725 0.22900763358778625 0.22900763358778625 0.3435114503816794 0.11450381679389313 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.3435114503816794 0.11450381679389313 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.22900763358778625 0.3435114503816794 0.11450381679389313 0.22900763358778625 0.22900763358778625 0.3435114503816794|0.0452464 0.11920689999999999 0.1131161 0.24175939999999999 0.1949077 0.013921999999999999 0.44579169999999996 0.1583625 0.06612939999999999 0.1249218 0.1024689 0.3065311 0.0441287 0.25469959999999997 0.10180449999999999 0.0948434 0.12877829999999998 0.1667455 0.053 0.131 0.091 0.1077911 0.113116 0.10528499999999999 0.1218079 0.127 0.11 0.424 0.064 0.09774139999999999 0.12877829999999998 0.12442769999999999 0.1096356 0.18627149999999998 0.034804999999999996 0.1703405 0.0454501 0.12701479999999998 0.0974771 0.320058 0.041999999999999996 0.3286619 0.014792099999999999 0.12007709999999999 0.0931032 0.20136569999999998 0.043 0.1059358 0.11659649999999999 0.10416829999999999 0.11746659999999999 0.12083279999999999 0.11932129999999999 0.2916787 0.2950731 0.10180449999999999 0.08328519999999999 0.11833679999999999 0.2925004|0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0
ARROW_010|・あ げ て|gts a g e t e|E4 G4 A4|0.22900763358778625 0.22900763358778625 0.22900763358778625|0.0261037 0.1505313 0.0493361 0.1211849 0.1122459 0.3066837|0 0 0
ARROW_011|あ げ て|a g e t e|E4 G4 A4|0.22900763358778625 0.22900763358778625 0.22900763358778625|0.1427003 0.0696099 0.1147213 0.1105057 0.2782846|0 0 0
